# PA[deg]	RM[rad/m^2]
90.1558	-38.5604
52.2734	4.8384
85.4263	1.8239
85.3976	-10.9913
44.1786	-10.3627
45.6972	9.8177
30.0690	-5.7424
69.0514	-1.6313
94.1584	6.9284
78.5439	15.1911
88.0578	-23.5875
59.7405	2.1166
81.3586	27.8470
32.2971	6.2305
89.5753	-21.4564
81.3642	21.8983
63.0587	0.0388
90.1828	-49.4114
47.7121	-1.6356
65.8766	2.8216
92.5065	-56.8186
88.8615	-27.7783
79.4283	19.3728
76.2606	-0.1287
76.2687	8.0808
91.6625	-50.3341
64.2567	-3.0921
82.0750	3.3425
58.5817	-13.0399
49.2715	-3.9803
55.2634	-6.3775
84.7116	36.6645
55.2279	-27.4480
75.5382	-4.0768
76.8432	-6.1904
41.8591	-40.6525
86.0201	-2.9020
55.8625	0.9294
53.7185	13.5093
90.7909	-51.5007
11.2225	-76.4665
35.3462	9.6586
62.0236	-18.2375
82.8782	-13.1247
56.2109	-21.2456
35.9230	-1.0511
59.6068	-36.1513
84.8931	-15.3803
90.3813	-48.3489
65.4909	0.7401
52.6539	28.5764
83.1143	15.8929
83.1069	-12.4921
84.3128	-18.4543
86.8190	-37.2554
86.7945	-17.5666
87.2808	-25.4150
91.2670	-34.1364
86.5066	-36.0554
66.4174	2.5211
66.3861	2.7484
12.6892	-28.3770
86.2246	-37.0137
84.6807	-5.1193
73.9724	-41.7670
72.4134	-4.1231
53.3964	15.4864
33.1831	44.5234
33.2130	43.3444
81.6263	-33.5754
47.8680	-6.3289
80.8310	-3.7759
69.5454	-18.0429
34.7716	33.9161
55.2773	-15.1668
60.3227	1.4837
76.4746	-10.8883
55.7526	-20.9082
74.9054	-21.8287
34.9023	46.6895
75.7176	-2.9898
76.9203	22.2704
75.5175	19.7060
36.3404	1.2780
70.1413	-48.7727
79.9955	-11.2976
46.1226	7.8981
68.9005	-8.3616
46.4974	17.7023
86.6232	-10.0556
88.8283	-3.1371
84.9746	15.2455
81.9475	-27.5604
82.9255	9.0366
59.5474	-5.2110
78.3661	-15.0246
64.3028	15.8438
66.8357	17.0740
58.7523	15.7299
73.0705	-5.3303
82.7868	9.1412
80.7179	-20.1742
80.7001	-21.3513
78.7163	8.8440
78.6929	31.6919
87.6219	-21.1293
66.6723	11.3956
66.6903	29.4324
48.3384	-7.2877
85.8281	-26.8860
77.8657	-24.5426
68.4743	14.1276
64.2902	33.5963
87.0511	-43.9034
60.3777	14.7897
58.6548	61.9361
71.0079	-20.1776
54.0736	-10.5665
57.5845	-0.6342
78.8303	-16.4331
36.4573	-39.9462
68.8840	7.1042
66.1736	25.5036
73.9978	-31.0907
84.0196	31.6671
87.4028	-32.5927
46.8605	26.9083
68.6990	17.7004
71.6958	30.8759
41.6407	10.2983
57.9230	10.0921
67.0244	12.8499
76.5079	27.8308
84.0147	-13.0877
48.3732	-1.4462
48.3766	5.1540
60.4511	-8.1085
85.5669	24.4772
40.6744	-0.6142
53.8364	-5.8367
51.2840	7.8540
70.5361	1.4546
74.4543	-0.2574
45.2665	3.9374
68.7605	12.7011
79.7357	0.3081
84.5157	0.5015
51.9314	-2.2154
51.9906	-8.4150
63.8924	-50.5640
45.2139	13.3281
72.7896	-7.1324
44.4585	2.5174
62.2813	-1.3516
75.4174	3.9103
76.5027	-4.1963
74.5298	-3.7272
73.8908	32.5900
81.8366	-6.6157
51.2496	2.9895
83.5370	-6.0610
61.0289	-58.2365
74.0939	19.7108
81.6010	-15.7913
84.1950	-4.9737
83.7492	29.4603
84.0245	-1.3630
74.3785	-5.3406
49.6903	7.4068
40.2223	-0.6075
74.4404	11.9202
83.2575	1.1515
44.0794	27.4841
81.2319	9.6719
57.2744	-33.2005
63.5065	13.0456
66.0471	45.5347
82.8606	-3.9792
74.9265	7.3429
60.1146	-8.8999
61.4145	16.9113
80.9266	-47.9174
44.6171	37.4686
51.8320	24.3185
48.2706	3.7623
47.2461	18.4128
47.1534	20.7593
81.4295	15.8252
77.7309	-24.1468
75.4058	3.9314
71.4671	-11.2057
71.4897	-10.4516
65.3912	49.0985
50.3495	-8.9232
76.8019	-17.7476
45.4567	9.7919
58.7562	-39.3635
79.1724	-23.7704
72.8953	14.6766
64.4357	17.8099
74.9259	19.0513
78.0686	-53.1602
72.1704	-20.7070
69.1245	-26.3938
75.3999	9.5394
42.3933	6.2742
50.7018	32.7937
51.5043	22.4545
58.3541	-2.3550
70.2379	-0.5305
69.9115	6.6433
64.2502	-55.9847
66.1952	43.4248
69.6172	-14.6954
69.2972	6.4806
68.5038	-21.2059
57.4562	5.9443
57.4411	4.9930
63.8900	-31.2398
64.7867	-67.6288
64.8271	-27.7351
71.7647	22.2418
46.6882	3.3850
71.4945	0.1092
61.4860	-4.7250
73.3079	50.4066
73.3268	45.2017
47.5483	1.3507
47.6296	7.3704
58.7452	17.1186
61.2976	28.2035
70.6166	-11.2208
72.1147	23.3489
60.4059	22.6247
60.3957	26.7418
68.9631	11.4123
62.4571	84.7911
62.4238	47.4376
60.9447	-67.1495
61.3972	26.2060
59.7517	3.7795
48.7601	-13.6371
56.2746	12.9798
54.1237	-0.2523
52.2851	0.0000
56.5454	-31.8936
57.8524	-27.0075
231.7285	-75.9156
223.3574	-33.4697
229.1423	-169.5688
220.5256	-5.6598
230.9477	45.9605
219.9968	-5.1665
218.4388	22.4231
229.2709	-37.9709
233.3568	47.1190
218.1905	29.9009
230.4498	-79.4513
223.0886	143.1247
215.7068	34.0015
213.2163	-32.2459
220.6649	-172.5326
230.2662	49.3234
230.2622	56.9331
212.6600	84.8563
213.9765	-39.6035
228.4120	97.6354
211.5422	32.0643
210.5927	16.2678
216.7816	-155.5231
234.9337	155.7531
233.5744	75.1912
211.3910	45.0016
224.5416	127.7609
232.3443	-2.4611
212.8236	22.8412
211.7873	54.9758
213.3019	16.0043
213.0665	38.9526
212.5780	1.8548
209.8030	70.0771
209.7835	74.9143
216.2322	-133.7668
209.3697	24.8047
236.0003	88.0742
217.2273	-142.4365
236.5477	137.2725
221.1352	-83.8073
205.1345	17.5532
237.0415	98.5649
236.8030	111.6039
236.4777	77.1952
217.5416	-124.8183
230.4195	28.9074
222.4663	-15.0983
221.1398	-95.5484
222.1222	-6.7344
237.9366	96.3401
238.4048	62.3831
211.9329	-91.0279
233.4994	-2.4972
202.3571	56.3973
225.2853	17.5835
239.2610	50.0472
236.6477	59.6265
208.4917	-46.0164
228.2079	54.5972
231.7304	27.4697
202.5253	21.8713
217.3512	-151.5158
220.0524	-115.0252
217.3600	-142.8952
206.6535	-79.4882
201.7853	37.3883
204.4756	-89.5177
222.4264	-14.7728
222.4367	-43.0213
231.9636	34.2832
209.1676	-51.6379
201.4011	-2.8784
235.9690	28.2675
238.3877	32.0768
221.8304	-0.9662
203.3025	-3.4558
223.7990	15.3361
238.9011	34.0314
218.3875	-41.0344
218.3253	-53.4422
228.6099	32.0402
201.8575	13.9331
228.3419	30.9125
201.2083	-16.7571
211.5084	13.5106
217.1499	0.2780
217.3588	2.9671
217.1946	-1.7125
239.1250	2.3521
199.0290	-0.0662
232.8891	-1.4116
200.7126	33.3280
205.8627	-0.2629
211.5412	39.3228
237.1458	-11.6631
231.3562	1.4389
238.5573	-25.5045
207.1752	-2.1538
221.5517	3.3220
210.5892	-18.1273
234.1289	38.3655
235.4826	31.0242
200.0713	28.1833
216.9272	51.1544
207.4129	-98.0586
232.0380	30.6702
195.6847	-6.7771
213.8226	-1.9916
207.1486	-65.3323
224.8581	5.6549
205.8833	-45.2765
205.8122	-37.5919
229.6740	2.7744
197.4238	73.2621
226.5032	-13.9827
232.3010	29.3812
197.9590	7.2371
212.2643	-29.0812
216.5033	-10.1370
242.4148	-42.9999
227.0223	-1.8689
269.3501	48.7635
216.4395	5.2870
193.7581	-36.4036
224.0061	10.6841
223.9678	14.5964
236.7940	45.4675
228.2551	6.0303
221.6072	-34.7348
195.5547	3.6359
196.2422	19.9705
195.5423	7.4803
234.2795	60.8494
209.1515	11.3698
234.2645	45.7966
223.5956	-10.3731
194.1629	-1.8535
220.9045	-75.4649
194.1348	-1.7775
201.0949	34.2579
214.6800	-3.4493
194.4623	-6.1116
211.0323	-22.7096
218.9501	-143.1612
246.4616	-6.5659
194.2209	20.2104
196.2806	21.3561
215.6898	5.7028
194.1964	-4.4015
210.3563	-10.4214
195.5212	21.0630
195.4132	21.1508
205.6984	-108.1327
243.7098	10.7811
206.0748	-46.7659
240.2902	-41.6709
219.7840	-143.7648
237.6106	-2.2847
214.9737	-46.3941
198.3645	4.8363
191.6322	70.1513
227.5045	-22.4979
208.9426	-17.7750
228.9822	-11.0795
229.0653	-19.5461
194.0722	0.5202
202.7137	-57.3547
193.3882	-0.0994
193.3784	-14.1269
197.8197	0.2255
237.2861	22.0897
216.6726	-97.5719
221.6437	436.1301
196.6937	21.7223
193.9934	10.0485
225.9759	-1.5578
235.4148	37.2955
231.0764	2.6945
197.7004	6.2610
202.0895	-17.6666
245.9023	0.5507
202.0822	-13.3273
201.2304	-0.6193
218.7159	500.8030
190.6368	71.2995
218.7294	-130.1900
208.7250	-77.5874
227.1185	47.4907
201.7081	-4.4197
213.9478	-106.7229
212.3779	-40.0869
222.3208	-90.9625
233.0670	22.2824
233.0626	10.4736
230.4416	-4.1438
198.3077	-6.5165
225.0168	-15.7973
191.6332	43.9406
209.2752	-53.2989
189.6020	18.1909
209.4952	-69.5251
188.8374	8.7823
231.9838	17.3913
211.7708	10.4774
228.9532	34.5584
232.4513	30.2219
253.1690	67.1098
213.1772	143.8635
216.9206	-76.9049
201.2534	53.9978
212.7240	-54.6635
225.7606	-23.4552
220.5760	-10.8935
210.6540	71.0240
210.0403	-3.5230
243.9238	-14.7122
215.7887	-10.4615
195.4017	72.9891
187.6671	-12.9977
195.5065	36.5306
245.1876	-12.4555
196.0181	65.5271
192.7612	8.4897
193.8723	11.4180
210.3396	22.4948
190.9521	24.5921
275.6204	-87.1450
211.7913	-5.1789
215.3181	-85.0210
212.8360	-33.4154
190.7169	-9.4890
276.1561	-50.2088
215.3300	45.2779
247.4543	12.7416
199.6457	61.3536
186.1963	-14.4713
194.2386	41.9938
248.9433	17.4325
195.5124	41.6383
215.2893	7.0518
207.4291	58.1935
195.7748	31.5799
215.2328	11.4973
205.7875	11.1348
277.1916	-73.2726
207.7061	17.5957
200.6361	38.9619
194.6025	42.6106
184.7836	-5.9013
186.6950	-1.4149
198.5460	19.1210
200.4600	38.2637
188.5889	36.5325
188.1559	34.1038
189.6887	15.1062
190.5776	27.9817
196.8739	12.1822
204.2113	-5.4460
204.2393	-24.0388
188.9597	-23.2104
202.6624	-32.7382
197.5490	1.4523
203.9631	-37.2652
256.1914	7.9480
187.6554	18.1108
199.8556	-4.1968
194.8177	-2.1720
200.2103	14.0961
207.2057	3.9218
187.8971	1.4200
190.4746	-10.5332
