# PA[deg]	RM[rad/m^2]
193.8723	13.4047
235.7403	5.1333
210.3396	13.9823
190.9521	5.3909
211.7913	-1.5056
215.3181	-88.3730
226.8014	-62.7518
212.8360	-17.0801
190.7169	-28.7510
221.1156	-94.9317
244.3191	13.2962
231.6350	47.2092
224.2571	-49.3750
235.1165	-35.0588
215.3300	41.7671
236.5925	26.0434
247.4543	24.7607
199.6457	30.3025
194.2386	38.5821
248.9433	26.8551
195.5124	31.4503
244.8486	0.5020
215.2893	4.0879
207.4291	55.7431
195.7748	22.7464
228.0955	-3.1822
215.2328	9.3308
205.7875	34.3475
207.7061	15.6825
218.3842	-78.8036
200.6361	20.6815
235.0559	-14.2655
194.6025	33.5023
233.7289	0.4870
230.1439	28.6402
215.7555	6.0137
224.0756	-25.5362
217.4105	-47.2870
231.7603	-20.4776
186.6950	0.2175
198.5460	5.2807
200.4600	21.8871
188.5889	36.1461
188.1559	31.7234
239.7696	-1.1394
189.6887	2.4634
244.1295	-0.3326
190.5776	22.3395
212.5595	24.9394
196.8739	13.6076
204.2113	20.1097
204.2393	2.2438
188.9597	-25.8659
202.6624	-29.3794
197.5490	0.7312
203.9631	-15.5087
256.1914	-4.7022
187.6554	18.8807
199.8556	-21.2890
194.8177	-2.6383
208.7983	9.4971
200.2103	3.5413
207.2057	2.1561
248.1801	-1.2060
187.8971	7.6932
254.2186	0.2771
190.4746	-9.9770
188.2034	9.6292
245.9508	7.1333
190.2082	-0.1075
187.2827	-0.3711
230.0064	-7.7668
250.4896	-9.1901
233.7336	-0.0002
183.1036	-0.8978
213.3194	-0.9709
222.3663	-0.7051
244.7328	-1.6866
202.5446	-0.2137
183.1517	41.3211
186.3225	0.2465
240.5810	-2.3512
189.7672	-1.7030
216.0595	17.1448
184.9592	2.5900
220.6487	1.9638
230.0508	-37.2698
219.4759	55.4636
230.1297	-49.7887
193.1544	8.1992
193.1465	17.4117
184.2188	-4.3445
248.4385	-17.0601
185.5332	-3.1353
232.4651	-50.0968
190.7439	12.1349
186.9601	0.0952
184.7485	19.3030
211.8205	33.8875
221.8264	4.3289
182.2707	-22.2509
193.2415	6.5315
185.1118	-14.6957
197.8966	7.4031
243.2701	-9.2790
257.8512	-31.3375
197.8346	9.3169
218.9151	23.4455
218.8291	21.5421
218.7940	32.9475
259.7386	-10.3690
181.8632	-2.2855
230.1793	33.9011
201.6057	33.6440
258.1316	30.5151
214.8115	210.8622
251.2161	-9.1946
202.0038	21.0406
200.7351	10.9711
183.1154	37.0060
225.1936	22.8148
254.9985	30.7806
183.6115	13.1041
224.7874	33.2846
238.0764	-1.4690
193.9654	-6.6063
222.6562	23.0543
199.7586	28.0903
182.0973	29.7561
252.1937	-1.2981
205.2544	38.7613
208.1475	28.0988
201.3486	13.5696
207.3895	14.7418
207.4143	14.9544
184.3036	-3.5663
213.6716	93.8153
202.2392	35.2067
233.3943	-30.8194
203.1146	59.4294
188.7994	27.9367
183.0930	-14.6955
251.9201	-3.6533
214.2116	47.5418
206.1383	42.8586
213.6487	62.3312
184.1383	-14.4604
204.7309	43.5854
189.3623	-1.0634
260.8483	23.2741
246.7944	23.2945
187.2365	24.2137
191.7242	-1.5134
208.6037	23.2316
239.3627	-8.1996
183.2704	-9.0880
190.4858	-22.0949
190.4565	-8.1706
249.8445	26.7991
229.8610	11.2179
200.0431	-18.8921
192.4363	-16.9491
185.3879	-0.2779
245.2132	-32.4436
206.7986	13.5005
192.2716	1.9247
178.6172	19.5184
203.0877	26.8747
206.7621	26.2057
248.9908	44.4689
190.1076	-11.2835
186.6765	-16.4857
192.1889	-15.9290
245.4459	2.7853
244.6737	17.0893
186.6842	-12.7577
217.6679	-3.3630
195.6877	-43.5025
185.8177	-16.0448
209.3577	6.3527
238.5463	-13.0208
213.5944	36.6698
178.1786	-6.7569
256.8116	-31.6227
247.4147	37.7137
193.8108	-22.8151
178.9473	7.2185
190.7973	-19.8684
259.6569	4.8163
235.1358	-10.7215
178.8588	18.1276
194.3038	-33.9788
258.5788	-7.9901
186.1056	-23.4829
231.9133	2.0555
190.9071	-72.2677
223.9466	8.7788
231.5519	-1.7601
260.7424	-10.6940
229.1751	21.2006
179.3919	7.3615
264.9785	85.3777
262.5792	26.2379
223.5644	-1.7157
235.2976	-25.3400
246.2631	18.6816
255.7060	15.7129
191.1494	-53.4442
177.4700	-4.3998
191.3325	-82.2037
180.3484	1.2783
178.4168	-13.8419
185.9555	-22.9594
192.7186	-28.5011
184.5474	-28.5851
185.7498	-44.2595
191.5504	-34.8421
190.5300	-36.8278
250.7605	33.4854
187.9647	-12.0042
176.2707	68.6108
178.3274	0.3321
189.3885	-77.9169
182.7133	-10.8449
250.3233	40.1829
178.0239	24.4523
189.6881	38.1323
232.7749	-43.1286
179.6453	-5.3301
261.9186	-10.4664
250.1774	29.0760
174.9550	-1.1435
180.8004	25.3697
246.5667	-4.2006
231.2158	-3.4491
244.9360	-21.0606
181.5521	-11.0818
174.6984	-9.4043
178.7637	12.2342
269.9759	21.0669
177.4812	-19.4116
176.0265	8.2081
175.6446	20.0790
174.7370	-26.2036
232.8780	-43.1925
187.3862	-172.3305
238.6380	-44.3456
259.5585	-18.3192
176.9948	-19.2640
176.9815	0.2753
258.3425	5.7451
178.0909	30.7702
257.1454	-15.3488
186.9737	31.3844
257.1962	-15.3271
175.8649	-16.1977
239.6682	-37.6983
245.4455	2.5510
237.1974	-9.9098
237.5872	-28.7740
246.7212	-20.2058
257.9798	-15.2864
183.2039	-2.9567
186.8180	-1.0086
254.7803	0.0888
182.6799	-10.2595
175.5674	-7.6501
258.2033	-53.8793
184.3653	-2.9751
251.8100	2.2900
172.7891	-7.8395
181.7669	-8.5803
181.7704	10.4329
184.8521	0.3400
271.5143	79.6534
259.8342	9.8633
181.8594	-22.4520
266.9799	-1.1182
177.9067	1.3253
172.8139	19.3993
182.4561	-21.6570
183.3568	0.4320
252.2708	-33.4289
176.8571	-5.7235
172.9518	-7.3524
249.2754	-15.6305
181.1837	5.8509
175.9215	-32.6649
176.8320	-1.9356
176.8437	-4.8907
174.2552	-16.3450
257.2375	-9.1124
174.5512	-18.0771
253.5494	-6.7034
178.6850	23.0106
174.3256	-21.8748
258.4822	24.3152
172.8716	3.9313
173.4845	0.0301
178.3194	6.0811
266.2006	-0.5217
251.3737	-2.1452
174.0480	3.1546
247.7688	1.2109
177.2110	-2.3680
174.9019	0.5622
179.0978	-1.8264
263.3054	-20.7805
178.7398	22.3719
178.7216	19.7836
172.8805	-36.2237
172.3185	-58.9478
274.9358	-2.8425
173.0924	1.6025
177.6841	0.7688
171.6253	-10.6770
171.4726	5.9245
259.7182	0.6140
178.0826	21.8895
274.9337	11.6330
170.3223	0.3113
170.2907	10.7719
262.9799	-38.9499
263.0461	-44.2616
263.6155	-40.3131
176.8019	38.8375
175.5826	22.0414
168.6618	15.6079
279.4801	22.6259
175.2131	45.0909
270.7587	4.2546
169.2343	50.0029
171.5695	-14.1689
170.6536	-5.6794
171.5884	22.1545
173.0245	-15.3908
170.0169	-12.0395
172.7251	12.8851
271.0516	21.6572
173.2361	10.3870
170.1119	-12.9726
167.9207	0.0643
173.6582	2.7759
264.0900	11.1888
174.9004	13.6040
173.7887	19.9999
176.1858	-24.7653
263.2700	36.8465
169.3340	-8.6840
172.1755	8.7438
173.9987	-3.9296
173.2585	13.8191
278.1938	-15.8195
173.7283	-5.4514
169.5738	36.2608
168.3532	-13.3963
170.9732	14.1543
171.0364	7.5528
172.0934	0.2265
173.3867	1.9488
166.9885	-35.2928
168.4958	20.8782
171.6334	17.5038
274.5560	-49.1616
173.6435	21.2281
170.4006	64.8392
278.4585	-9.8535
166.1741	-4.7513
173.1332	-18.4108
166.6204	1.2585
272.4034	9.2958
164.3665	27.1691
167.9809	53.9855
167.9996	36.7307
164.3517	40.2061
165.4088	46.1753
169.5000	21.4761
170.9359	-21.6551
165.0621	1.9787
277.2676	-18.4078
163.7031	24.2042
275.4786	-9.8549
275.5592	0.4862
286.5952	38.3355
283.7342	57.1545
166.7029	70.8861
167.3924	-11.9671
165.8688	34.4020
285.1704	28.9876
164.7959	-23.5345
162.8126	14.8476
163.2668	-0.2546
165.3420	90.0837
168.9140	7.3513
167.8873	-2.6443
166.0240	10.7284
167.9841	8.7410
287.1795	-0.7242
162.6142	13.3124
285.3564	-6.0363
167.1452	-494.7768
168.4978	-8.8301
163.5199	10.3233
163.4865	8.5746
166.2490	4.2484
162.9355	3.7589
161.6509	-0.8766
168.2401	-1.5486
163.5414	-42.2811
166.2626	5.1407
167.2027	0.5417
165.2052	7.7453
162.9219	12.1426
161.9371	6.7469
164.8364	-1.0972
163.7191	65.6103
285.3380	0.2410
163.6916	63.8786
165.5338	-6.6239
