# bin_idx	PA[deg]	RM[rad/m^2]
5	310.0082	-339.4403
5	310.5773	-327.3354
5	150.2197	-51.0503
5	149.3849	-70.6365
5	149.0352	-51.3732
5	149.0818	-65.2414
5	317.3619	-303.3694
5	144.5113	-42.9137
5	144.4675	-70.5818
5	144.0537	-74.6189
5	142.7809	-40.6633
5	322.4550	-239.3058
5	142.0617	-53.9959
5	322.7090	-230.4660
5	140.8737	-50.4266
5	325.2262	-170.9138
5	138.7735	-72.4023
5	137.7326	-27.8204
5	137.7804	-52.8008
5	134.7271	-16.4358
5	330.1882	-124.0603
5	330.3635	-101.1880
5	331.1604	-90.1764
5	331.1921	-84.7717
5	133.0585	-46.9372
5	133.0435	-47.4354
5	131.8172	-99.1018
5	131.1957	-54.5982
5	131.3935	-41.0863
5	130.5286	-46.6392
5	335.9167	-60.3081
5	336.5387	-38.2585
5	338.4852	-18.9310
5	126.0798	-16.6756
5	124.9565	-37.4782
5	123.6512	-34.4485
5	340.8802	-33.3033
5	340.4696	-31.9578
5	124.2954	-52.2614
5	344.1806	-36.9851
5	122.7021	-34.1108
5	343.0495	23.4016
5	344.0982	-25.0784
5	343.5365	77.6153
5	119.9772	-26.0205
5	120.6595	-52.6850
5	118.4441	-51.9466
5	350.9960	-32.2920
5	111.2435	-6.6430
5	114.9683	-39.5618
5	347.6581	-10.5603
5	114.6122	-25.3200
5	109.0677	-22.5207
5	114.0038	0.8525
5	109.5743	-1.5210
5	357.1829	-33.7510
5	357.1877	-5.4250
5	108.1733	-47.4301
5	356.8723	-13.4800
5	111.0382	-17.4522
5	357.3196	-40.9085
5	1.2451	-2.4316
5	102.5710	-5.4645
5	95.7893	41.1521
5	16.0508	20.3593
5	84.7850	36.3754
5	8.9585	3.9937
5	8.8129	10.2452
5	16.8081	29.8472
5	9.1499	-24.4235
5	13.8332	-10.3375
5	13.6786	-39.3321
5	26.3835	66.5459
5	21.5930	33.2108
5	93.0795	48.5568
5	79.7639	38.5143
5	91.3588	27.1934
5	33.4355	54.4695
5	45.3394	-17.1641
5	18.4205	9.8664
5	84.8178	61.1877
5	61.2566	-2.2508
5	48.1134	-24.8618
5	72.2375	-119.2128
5	65.7435	7.7963
5	43.4302	17.0041
5	71.3170	13.1089
5	26.5216	46.7953
5	35.9403	14.7283
5	72.1415	36.6133
5	72.7554	18.0412
5	25.0977	6.3454
5	67.5876	-3.7186
5	67.4689	-20.1702
5	74.8130	20.3943
5	74.7164	8.6360
5	43.3398	-13.1118
5	41.8020	-14.0279
5	41.7727	-3.3068
5	69.5626	37.9186
5	58.5990	-28.3184
5	63.9598	-27.8829
5	63.8873	-25.5674
5	60.3100	-32.3002
5	56.3508	-47.0818
5	232.9765	48.5533
5	234.9163	74.6557
5	228.8827	64.8414
5	214.5826	-25.0132
5	251.6452	52.2068
5	254.6583	56.6994
5	223.9476	19.1126
5	215.7008	-26.6588
5	229.8340	57.4415
5	241.8609	57.4594
5	254.5796	89.2064
5	218.9216	-34.8620
5	222.3544	8.5014
5	222.3110	17.6019
5	206.7927	-73.0380
5	255.8050	72.7888
5	242.3907	34.6308
5	213.4255	-41.2646
5	246.7821	92.5540
5	259.4105	61.4890
5	265.6815	-39.2600
5	197.5771	-38.5305
5	267.5641	-57.9122
5	201.7762	-74.8696
6	186.9480	-39.0359
6	184.3129	-22.5140
6	179.8518	-3.3796
6	183.6724	-25.2713
6	179.6672	-34.1968
6	177.0650	-19.0736
6	181.8562	-48.8912
6	177.2573	-6.1178
6	285.3237	188.1207
6	179.5265	-16.3069
6	172.0679	-28.4371
6	169.9158	-12.8032
6	170.7805	8.9672
6	294.7708	-3.9856
6	297.3123	-49.7687
6	169.8069	-39.2142
6	168.1643	-26.8021
6	165.5370	-57.5016
6	297.5989	-61.9660
6	165.0392	-44.0911
6	300.3900	-105.5024
6	166.4608	-68.0906
6	163.3606	-74.7584
6	166.2126	-49.3687
6	300.2625	-151.8052
6	162.7253	-72.1879
6	159.3989	-79.2310
6	159.3778	-89.5521
6	158.3161	-55.0203
6	306.8958	-259.9803
6	306.7484	-299.1617
6	154.7825	-73.5859
6	154.2179	-49.2791
6	154.8396	-84.0218
6	153.7228	-56.6432
6	312.2129	-389.9527
6	152.0884	-48.2702
6	150.4041	-50.1995
6	314.1230	-366.7417
6	148.9736	-44.9966
6	148.3023	-38.6981
6	317.3540	-340.5039
6	318.4253	-316.0497
6	145.7428	-48.6872
6	145.7067	-44.2801
6	142.3833	-32.7717
6	324.4294	-226.9410
6	324.5416	-250.9873
6	324.3805	-204.1760
6	139.0361	-40.7791
6	135.2491	-22.8122
6	133.8590	-60.5982
6	332.3471	-93.9550
6	132.3589	-46.0140
6	127.7918	-33.6789
6	337.4739	-28.4219
6	124.9828	-47.4589
6	124.7266	1.5607
6	122.2872	-77.5669
6	340.6160	15.8766
6	346.6116	15.9704
6	350.7456	-25.3577
6	115.6179	-23.9642
6	115.5538	-20.0625
6	111.0096	-35.5132
6	354.7251	-66.6136
6	110.5462	-27.7340
6	111.0584	-38.2064
6	104.6875	-18.3591
6	356.9260	-19.9676
6	355.5344	-52.1612
6	100.8241	-13.9676
6	99.4854	16.8430
6	100.5488	6.9200
6	0.7606	41.9763
6	96.5088	30.1628
6	9.5644	-5.3106
6	98.1229	-11.5538
6	3.9917	-5.5091
6	98.9390	9.1331
6	98.9263	2.2029
6	12.3824	-19.2612
6	96.6677	46.4250
6	8.7984	4.1607
6	14.4594	-5.7341
6	92.0685	61.1031
6	93.3779	26.1814
6	22.0277	-33.6654
6	27.7780	5.8227
6	22.9198	-31.8372
6	76.4420	8.4646
6	16.0064	-25.8576
6	30.1618	-22.5030
6	72.4013	10.7376
6	18.1131	-53.6941
6	69.3873	-32.8304
6	36.4861	11.0878
6	72.9192	-39.4988
6	27.4669	-56.5365
6	70.4430	-5.3304
6	67.3433	-61.5868
6	56.1924	-25.2400
6	44.1113	-15.7654
6	68.5321	-14.7756
6	58.0286	-58.8788
6	63.2365	-20.3832
6	50.2932	-14.5466
6	61.5058	-25.9627
6	27.4675	-87.5613
6	49.2342	-9.7139
6	35.1812	-2.2879
6	74.8752	-13.1328
6	40.5986	-6.1631
6	40.4995	-5.9264
6	51.4887	-5.8401
6	31.4532	-14.8648
6	31.5746	-4.6305
6	35.5708	2.2356
6	32.8039	-33.7419
6	47.2127	19.6364
6	48.1804	-15.3712
6	69.8765	-17.2882
6	32.9312	-3.9056
6	40.4704	1.0393
6	40.4113	-7.1428
6	40.4200	-12.0430
6	63.4624	-26.7719
6	62.9160	-36.6491
6	44.7508	-46.1490
6	237.4415	103.3121
6	228.3020	59.3815
6	220.2315	70.1883
6	232.8348	92.3096
6	234.9860	84.8491
6	221.5827	77.7402
6	232.4005	74.0472
6	219.1774	54.8345
6	214.0331	17.2330
6	251.9532	63.9058
6	235.0412	74.3221
6	206.7245	25.0491
6	217.8746	6.5733
6	233.1574	68.3424
6	249.2513	40.6872
6	250.3206	56.3642
6	246.3190	42.5287
6	244.1611	61.6865
6	252.8435	47.0958
6	264.2336	0.1337
6	208.4502	-17.6230
6	212.2773	-38.7191
6	203.5936	-37.7871
6	203.6062	-34.7112
6	248.8990	86.4301
6	200.2373	7.4934
6	200.2638	6.4114
6	261.5801	8.3718
6	200.9031	-42.0820
6	266.4104	12.0318
6	201.4024	-25.2130
6	259.8758	46.7118
6	205.6242	-49.4107
6	195.7706	6.8156
6	269.9921	4.8101
6	202.5435	-12.7527
6	273.7756	33.0700
6	189.3637	-9.3655
6	193.0771	-29.9797
6	272.2199	24.9279
6	265.4821	8.7147
6	187.9784	-32.5653
6	192.1650	20.8127
6	192.0706	3.8321
6	273.7085	34.4693
6	187.0695	-11.4349
6	276.8465	14.0168
6	274.1338	-34.3415
6	181.1562	-24.0000
7	179.0245	-5.6000
7	175.0535	-54.7000
7	175.9102	-41.0400
7	176.4722	-10.5706
7	176.8827	-7.7159
7	290.5152	173.4130
7	173.1083	-77.9923
7	174.0911	-87.6946
7	170.9128	-51.8101
7	292.9432	109.6727
7	296.0380	5.2644
7	300.7825	-60.3756
7	300.1495	-60.1872
7	164.3182	-14.1238
7	301.5736	-159.1497
7	165.1008	-65.2754
7	162.4826	-88.8671
7	159.2349	-72.4709
7	158.6388	-76.7566
7	160.0548	-94.3648
7	158.0182	-75.7184
7	158.1898	-65.4809
7	157.3216	-37.5479
7	156.5058	-86.4952
7	308.4644	-301.7162
7	156.1762	-78.3684
7	156.1176	-41.8339
7	155.6310	-71.0446
7	152.7850	-50.1363
7	151.9498	-50.6205
7	313.2705	-410.1435
7	151.4971	-58.0494
7	150.2637	-31.4491
7	314.9513	-366.2899
7	150.0083	-46.1768
7	148.7808	-52.9735
7	316.6952	-308.6927
7	317.0244	-339.8170
7	147.2546	-66.1194
7	146.2121	-3.9955
7	318.5873	-365.4754
7	319.3763	-372.2055
7	143.5598	-37.3365
7	142.9969	-68.6145
7	142.4135	-41.7081
7	142.3340	-39.7318
7	140.8840	-44.7912
7	136.1078	-41.3701
7	134.5246	-44.7695
7	133.2804	-50.5420
7	132.8141	61.3403
7	131.4545	-16.6856
7	131.9158	4.8096
7	130.8832	-24.4988
7	131.5490	-28.0618
7	333.8162	23.6158
7	130.7067	1.2320
7	130.7052	-6.9570
7	130.6319	-3.1203
7	127.7094	-17.3968
7	127.2573	-25.3297
7	336.4679	-3.1444
7	125.3507	-25.9021
7	124.4012	-29.1573
7	123.6331	-9.1822
7	123.5274	-15.8644
7	343.3978	25.7523
7	344.8638	4.0990
7	345.1763	-5.3616
7	344.7644	37.0339
7	121.4397	-8.6344
7	343.9202	24.3901
7	346.8980	2.5181
7	119.4851	8.9744
7	347.1722	-2.4384
7	119.4333	11.0911
7	115.7986	-40.4167
7	347.8560	22.9208
7	113.5778	-22.4763
7	113.0855	-31.1346
7	115.2944	-12.5865
7	112.0640	-5.5935
7	113.7503	-29.5593
7	113.3235	-37.9526
7	112.8358	-33.7752
7	355.6555	-69.3980
7	109.5206	-15.1768
7	110.0520	-33.8327
7	108.0035	-40.2643
7	107.6754	2.3351
7	103.6788	-26.9852
7	105.7360	-17.4365
7	105.8511	-9.3078
7	359.6258	53.3643
7	1.5489	-59.6122
7	5.6145	-62.9745
7	98.5631	30.5067
7	99.0050	1.2314
7	96.1336	2.4862
7	89.9819	89.1385
7	14.8111	7.4163
7	11.1432	-22.1667
7	9.8264	16.3865
7	15.2123	-35.8607
7	86.0096	48.6628
7	91.0971	51.4136
7	20.1207	-31.8197
7	13.7601	12.1118
7	89.8752	9.5510
7	85.3879	41.4643
7	87.0555	16.5470
7	80.9036	32.4338
7	82.3722	3.5360
7	80.3223	-6.4926
7	18.4610	-22.3503
7	78.9661	32.2033
7	83.0752	9.1957
7	24.2599	-87.1424
7	87.3908	-8.8126
7	83.5506	49.8324
7	20.2466	-32.9492
7	83.8354	48.0268
7	74.3670	-0.7723
7	86.2522	-8.6315
7	19.9296	-40.0418
7	72.4592	39.0884
7	28.8525	-74.0840
7	30.4118	-63.4546
7	70.5711	-17.8916
7	30.6213	-45.7950
7	63.1206	-29.6070
7	74.2740	-19.8608
7	24.2974	-44.7637
7	61.2645	-42.2703
7	57.0068	-48.1722
7	61.1774	-35.2703
7	59.5920	-19.0288
7	35.9087	-23.4711
7	76.7236	-88.6018
7	76.7393	-88.6044
7	38.8115	-36.6623
7	38.8493	-31.2361
7	74.2203	-39.3084
7	69.2160	-18.9918
7	33.7720	-44.7234
7	48.0207	-30.1558
7	44.2547	-7.9550
7	58.7127	-35.7967
7	55.2648	-42.2137
7	66.4140	-27.2491
7	53.0447	5.2943
7	57.0247	-74.6508
7	50.0947	-8.7499
7	51.1438	-21.9710
7	65.1440	-31.0275
7	41.0946	-40.0230
7	38.7195	-50.4096
7	46.5036	-95.3000
7	51.1555	10.8479
7	65.0274	-38.1930
7	55.8490	-25.1509
7	64.5743	-22.9449
7	58.2153	-37.3959
7	56.7259	-41.5529
7	232.8780	69.9385
7	238.6380	41.9669
7	230.8010	23.8047
7	239.6682	44.3795
7	245.4455	51.9998
7	237.1974	103.6479
7	237.5872	80.2921
7	246.7212	28.6700
7	220.9219	51.5625
7	235.6306	105.6928
7	217.7398	12.1944
7	231.8386	78.2689
7	219.1641	47.6554
7	223.2133	75.0452
7	224.1956	74.5798
7	252.2708	-5.6080
7	249.2754	36.0649
7	211.0418	5.9870
7	220.8428	76.8489
7	231.3348	115.3763
7	253.5494	14.0569
7	234.5280	98.6748
7	233.6608	108.0696
7	231.6271	120.0847
7	251.3737	49.4105
7	226.3781	98.8444
7	226.3690	108.1764
7	247.7688	65.1855
7	212.3160	96.3518
7	243.7304	8.6774
7	213.6261	5.1927
7	240.1711	87.2669
7	222.0342	69.2008
7	203.0320	36.9174
7	259.7182	-1.3483
7	213.7382	15.4475
7	199.2864	26.8707
7	262.9799	-5.4229
7	201.6430	30.8058
7	263.0461	-11.2255
7	263.6155	-12.6951
7	205.0445	4.2098
7	205.6544	-2.2735
7	264.0900	14.0607
7	194.8638	30.9870
7	263.2700	24.0300
7	198.8395	29.4058
7	188.7547	16.0397
7	274.5560	-59.3287
7	278.4585	-22.2801
7	272.4034	0.4201
7	188.2283	29.2339
7	183.1486	-28.1155
7	277.2676	-29.4702
7	182.4232	-22.9669
7	275.4786	-21.2183
7	275.5592	-10.8887
7	187.5187	-3.7021
7	181.3094	-55.2268
7	185.8228	6.5224
7	182.7207	-5.4020
7	181.0548	-22.7661
7	178.1619	-34.0267
7	287.1795	-105.0600
7	285.3564	-45.5296
7	181.6295	-5.3505
7	285.3380	-13.0656
7	178.4583	-25.4000
8	292.1467	214.3000
8	292.1286	210.3000
8	171.5351	-72.6393
8	291.5393	197.1475
8	168.2301	-66.4597
8	169.8802	-62.1908
8	294.7009	135.0999
8	297.8098	121.7578
8	166.9984	-91.5456
8	164.2658	-55.8449
8	162.5991	-24.5313
8	302.6034	-115.0203
8	163.8978	-17.7766
8	302.7161	-232.8252
8	159.2899	-49.9589
8	158.2847	-42.3515
8	158.2618	-41.6460
8	306.5333	-207.6981
8	156.4047	-55.6645
8	307.9259	-314.5798
8	154.0931	-23.3370
8	154.0065	-39.4682
8	152.9652	-76.7039
8	312.8385	-420.1418
8	150.7094	-13.5332
8	313.5072	-426.0568
8	313.5523	-376.4269
8	148.3145	-23.6075
8	146.7777	-5.7829
8	146.7594	-14.8883
8	146.1563	-27.6653
8	146.2438	-17.7204
8	144.9112	3.2617
8	144.1119	-13.1225
8	143.5203	-6.6639
8	143.3067	-23.3242
8	142.8455	-17.2262
8	321.8079	-174.1924
8	322.0146	-217.0083
8	140.2657	-16.3813
8	140.0352	-7.7277
8	139.6991	-75.8403
8	139.4689	0.5419
8	139.5075	-11.1613
8	138.9413	-14.3499
8	138.8978	-2.3603
8	139.0285	-3.7662
8	139.0219	-9.2680
8	328.1968	-58.2254
8	135.0991	-39.4214
8	134.9603	-1.1956
8	329.4815	-91.4179
8	133.9745	10.1400
8	133.3764	37.8963
8	332.1300	-127.9080
8	332.5603	-17.0394
8	131.6265	-83.2349
8	336.1947	-32.4252
8	128.4392	-49.7487
8	127.4420	-6.4972
8	127.1962	-5.5014
8	127.1846	-16.9920
8	125.1743	-7.1183
8	123.9323	-2.8546
8	123.7889	-0.9308
8	124.5907	-8.8234
8	124.6341	-19.9306
8	341.9461	-87.5641
8	343.1315	60.9775
8	122.8075	-36.6831
8	122.7656	-19.2971
8	343.2659	63.8710
8	121.3553	-38.8976
8	343.0006	60.8761
8	343.9483	42.7333
8	118.4340	-35.5037
8	119.4966	11.9904
8	117.0431	-7.7267
8	349.7792	10.6044
8	116.6011	-20.8305
8	113.9765	-20.0094
8	350.9121	31.7717
8	112.4122	-3.5610
8	112.3234	-5.1935
8	354.9475	-1.6897
8	108.0415	-9.2265
8	110.0949	-0.7216
8	355.2954	68.7497
8	107.7183	119.1416
8	107.9949	-3.6396
8	105.5892	1.5422
8	105.6215	9.6487
8	102.7266	4.9704
8	102.6638	16.8551
8	101.2078	6.9024
8	102.4282	76.2487
8	103.3444	21.2306
8	6.2617	17.6173
8	100.7384	10.3843
8	95.8287	7.2482
8	100.4309	2.5679
8	4.3875	5.8049
8	96.9165	27.7953
8	5.3659	-0.4873
8	95.0735	-14.3317
8	5.4212	13.8684
8	95.0930	-2.7767
8	97.0849	8.4699
8	97.4717	-1.7947
8	98.0538	36.7254
8	96.4943	25.5088
8	13.1227	42.4496
8	94.2394	15.4521
8	10.8405	-65.2116
8	87.8777	13.3584
8	87.6283	30.7079
8	85.6705	55.4717
8	86.4653	29.6278
8	88.3510	21.9791
8	81.6569	43.6157
8	88.3611	18.0848
8	87.5643	37.9621
8	81.4835	39.3686
8	85.6080	33.8701
8	86.3938	31.3326
8	78.5018	-32.8903
8	80.7724	-7.7172
8	80.2056	-26.8064
8	69.3011	-13.6648
8	77.5102	-40.5516
8	77.7895	-16.2293
8	33.3726	61.4862
8	65.2180	-18.7158
8	75.1437	10.2283
8	78.2669	-29.5486
8	57.5508	-56.2017
8	48.9775	5.1733
8	77.0945	-12.9289
8	54.1469	23.2335
8	69.5863	-45.0080
8	42.7302	-88.4819
8	57.1120	-33.9265
8	37.3490	-96.0793
8	43.5948	-94.4233
8	64.5645	-11.2070
8	59.8896	-54.3389
8	42.8666	-14.8128
8	67.9145	-19.5680
8	59.0204	-13.2787
8	63.7254	-22.1000
8	50.9639	-4.6569
8	46.9600	-28.3000
8	64.8111	6.1454
8	48.3663	-42.3000
8	239.3627	35.2362
8	229.8610	116.6781
8	245.4459	32.0659
8	244.6737	44.7342
8	217.6679	33.1386
8	238.5463	34.1170
8	247.4147	59.0480
8	235.1358	80.5364
8	231.9133	108.7682
8	223.9466	87.0509
8	231.5519	105.9133
8	229.1751	113.6712
8	223.5644	76.4543
8	235.2976	71.8165
8	246.2631	52.3539
8	213.4566	-6.6508
8	220.4631	34.7227
8	250.7605	42.3872
8	211.9478	5.0626
8	221.5163	27.1505
8	250.3233	50.7171
8	232.7749	67.5078
8	250.1774	46.1899
8	222.2860	62.3503
8	227.1349	92.6389
8	246.5667	35.9829
8	211.8678	36.1130
8	231.2158	97.9008
8	244.9360	21.6157
8	259.5585	-24.3422
8	207.5963	5.2452
8	220.9024	58.6362
8	209.0062	19.3133
8	258.3425	25.2191
8	257.1454	20.6376
8	257.1962	21.0061
8	212.7795	11.4357
8	211.6586	-17.3065
8	257.9798	19.3343
8	212.6781	20.7120
8	213.3517	42.5701
8	254.7803	5.1285
8	258.2033	-12.3989
