# PA[deg]	RM[rad/m^2]
106.9183	-22.2476
107.1911	-25.4878
103.9847	13.3640
104.5596	-2.8593
92.6122	-25.8787
96.0550	-18.9537
100.5020	-6.8544
357.8301	-9.4958
98.6836	-10.1666
106.1967	-25.6075
102.7082	1.3040
104.9849	-10.4684
105.1323	-41.2582
99.1067	-10.1935
101.3986	-16.2187
98.2344	-8.1368
98.1944	-3.7902
89.0574	30.1630
95.4799	11.8093
101.1170	0.2473
90.1073	13.6757
104.7110	-26.8429
104.7262	112.4400
88.2765	-3.5563
98.3428	-20.5684
88.7738	10.9769
97.9537	-9.8147
359.8914	40.8736
92.0126	-4.7446
92.9012	2.8548
104.6089	-28.4304
91.7084	-12.3120
98.8918	-5.0192
100.1774	-32.2161
89.3536	32.0400
87.5324	17.6252
93.7417	5.8409
95.1358	6.7455
89.1736	28.8736
95.0988	-7.8929
97.5905	-4.3097
99.7238	-3.3648
91.0561	-2.1233
104.1380	-9.0746
96.8114	-0.0693
100.5772	-5.3555
20.8244	-3.2487
102.8499	8.9096
101.3700	28.1952
96.7730	6.0138
102.1095	9.3100
91.8844	-6.5906
95.1628	-0.5915
90.7823	9.4896
86.7235	21.7998
102.7933	10.1634
92.6842	-27.9706
2.8257	18.7190
87.2174	25.1053
23.3429	-22.5977
99.6475	-2.4461
3.4138	-42.9450
79.1832	10.2038
80.5003	-5.3920
101.9033	21.9902
94.7537	-23.3624
98.0088	-8.8952
3.1935	-0.4241
92.0981	-3.9868
78.4757	3.1649
99.2848	-4.2114
85.3150	-16.1910
84.1803	17.3046
4.9821	32.6470
91.0448	-9.6499
90.6611	-3.6161
87.1247	37.2914
95.1136	8.4599
94.5317	-9.0337
92.4142	13.9351
97.6588	-1.6604
81.0907	-7.7034
88.3636	-9.4001
26.4528	3.2735
96.9065	-11.3422
4.7732	-1.8014
90.4857	-12.6746
80.1256	-8.3588
88.9610	-2.7247
87.7965	8.1979
99.1700	-15.4431
82.6567	-17.8395
82.6049	-23.3442
71.1707	3.4826
94.5721	-0.9046
85.9234	37.6956
70.4813	-28.8445
87.4585	18.4265
97.2800	16.2804
97.8852	-5.6076
82.1920	-34.2506
92.2467	-63.0725
83.3264	-13.8227
82.2342	-40.0524
77.4583	8.5042
77.4338	32.4376
94.6152	-9.5131
87.1812	32.7626
96.9632	1.1647
92.5365	35.3463
78.0898	-18.3830
78.1102	-20.1694
75.6295	9.2970
36.1055	1.4176
81.9207	-13.7021
91.2879	-12.2957
92.9226	-49.9282
92.4350	-36.6190
96.1193	-8.2261
97.1005	-1.9764
7.0386	0.5891
79.4381	-6.2682
83.8311	-7.4483
84.1211	0.4283
87.9181	-15.1422
83.6342	-3.7929
67.9722	-40.7171
88.6934	23.9418
96.6423	5.4000
66.4011	22.9042
85.7650	54.2031
38.9323	-5.4674
95.7593	23.8546
61.4332	-14.5161
79.3986	-4.2933
69.2502	-28.2794
37.7740	-23.3041
90.1558	-38.5367
52.2734	4.8144
85.4263	1.9164
85.3976	-10.8995
44.1786	-10.3206
45.6972	9.8478
30.0690	-10.7765
69.0514	-1.6604
94.1584	6.9784
78.5439	15.2465
88.0578	-23.4565
59.7405	2.1989
81.3586	27.8869
32.2971	6.1590
89.5753	-21.4043
81.3642	21.9378
63.0587	-0.0287
90.1828	-49.4067
47.7121	-1.6616
65.8766	2.8552
92.5065	-56.7222
88.8615	-27.6797
79.4283	19.4556
76.2606	-0.1276
76.2687	8.0821
91.6625	-50.2470
64.2567	-3.1685
82.0750	3.3539
58.5817	-12.9837
49.2715	-4.0247
55.2634	-6.3849
84.7116	36.7483
55.2279	-27.4561
75.5382	-4.0899
76.8432	-6.1754
41.8591	-40.6406
86.0201	-2.7853
55.8625	0.9325
53.7185	13.4888
90.7909	-51.4505
11.2225	-67.1327
35.3462	9.6465
62.0236	-18.2122
82.8782	-13.0850
56.2109	-21.2406
35.9230	-1.0662
59.6068	-36.0810
84.8931	-15.2853
90.3813	-48.3109
65.4909	0.7324
52.6539	28.5497
83.1143	15.9418
83.1069	-12.4432
84.3128	-18.3719
86.8190	-37.1284
86.7945	-17.4397
87.2808	-25.2847
91.2670	-34.0301
86.5066	-35.9300
66.4174	2.5711
66.3861	2.7958
12.6892	-23.8165
86.2246	-36.8898
84.6807	-5.0246
73.9724	-41.8040
72.4134	-4.1788
53.3964	15.4612
33.1831	44.0837
33.2130	43.2030
81.6263	-33.5629
47.8680	-6.3079
80.8310	-3.7393
69.5454	-18.0873
34.7716	33.8459
55.2773	-15.1842
60.3227	1.5596
76.4746	-10.8759
55.7526	-20.9237
74.9054	-21.8512
34.9023	46.6182
75.7176	-2.9942
76.9203	22.2937
75.5175	19.6976
36.3404	1.2654
70.1413	-48.8211
79.9955	-11.2348
46.1226	7.9318
68.9005	-8.3718
46.4974	17.7399
86.6232	-9.9266
88.8283	-3.1350
84.9746	15.3574
81.9475	-27.5313
82.9255	9.0950
59.5474	-5.1576
78.3661	-14.9554
64.3028	15.7470
66.8357	17.1355
58.7523	15.7662
73.0705	-5.3776
82.7868	9.1976
80.7179	-20.1447
80.7001	-21.3213
78.7163	8.9250
78.6929	31.7722
87.6219	-21.0445
66.6723	11.4429
66.6903	29.4803
48.3384	-7.2448
85.8281	-26.7609
77.8657	-24.4866
68.4743	14.1436
64.2902	33.5104
87.0511	-43.7839
60.3777	14.8552
58.6548	61.9650
71.0079	-20.2300
54.0736	-10.5936
57.5845	-0.6303
78.8303	-16.3445
36.4573	-40.0341
68.8840	7.1033
66.1736	25.5013
73.9978	-31.1259
84.0196	31.7651
87.4028	-32.5217
46.8605	26.9346
68.6990	17.7103
71.6958	30.8201
41.6407	10.2800
57.9230	10.0977
67.0244	12.9051
76.5079	27.8501
84.0147	-12.9866
48.3732	-1.4041
48.3766	5.1960
60.4511	-8.0510
85.5669	24.6030
40.6744	-0.6375
53.8364	-5.8690
51.2840	7.8260
70.5361	1.4054
74.4543	-0.2863
45.2665	3.9470
68.7605	12.7124
79.7357	0.3618
84.5157	0.4947
51.9314	-2.2128
51.9906	-8.4105
63.8924	-50.3555
45.2139	13.2242
72.7896	-7.0145
44.4585	2.4174
62.2813	-1.1634
75.4174	4.0250
76.5027	-4.0622
74.5298	-3.6281
73.8908	32.6948
81.8366	-6.6544
51.2496	2.9336
83.5370	-6.0760
61.0289	-58.0780
74.0939	19.8131
81.6010	-15.8334
84.1950	-4.9813
83.7492	29.4481
84.0245	-1.3721
74.3785	-5.2418
49.6903	7.2757
40.2223	1.2996
74.4404	12.0182
83.2575	1.1348
44.0794	27.3829
81.2319	9.6245
57.2744	-33.1459
63.5065	13.2456
66.0471	45.7167
82.8606	-3.9994
74.9265	7.4490
60.1146	-8.7731
61.4145	17.0713
80.9266	-47.9688
44.6171	37.3675
51.8320	24.2475
48.2706	3.6510
47.2461	18.3066
47.1534	20.6540
81.4295	15.7846
77.7309	-24.0431
75.4058	4.0463
71.4671	-11.0936
71.4897	-10.3392
65.3912	49.3149
50.3495	-9.0507
76.8019	-17.6200
45.4567	9.6915
58.7562	-39.3038
79.1724	-23.7403
72.8953	14.7938
64.4357	18.0142
74.9259	19.1572
78.0686	-53.0675
72.1704	-20.5866
69.1245	-26.3015
75.3999	9.6540
42.3933	11.0584
50.7018	32.6699
51.5043	22.3253
58.3541	-2.2999
70.2379	-0.4364
69.9115	6.7368
64.2502	-55.7881
66.1952	43.6378
69.6172	-14.6028
69.2972	6.5724
68.5038	-21.1158
57.4562	6.0056
57.4411	5.0545
63.8900	-31.0503
64.7867	-67.4277
64.8271	-27.5336
71.7647	22.3537
46.6882	3.2843
71.4945	0.2169
61.4860	-4.6037
73.3079	50.5200
73.3268	45.3149
47.5483	1.2508
47.6296	7.2706
58.7452	17.1756
61.2976	28.3070
70.6166	-11.1269
72.1147	23.4635
60.4059	22.6880
60.3957	26.8043
68.9631	11.5018
62.4571	84.9240
62.4238	47.5690
60.9447	-67.0846
61.3972	26.2879
59.7517	3.8356
48.7601	-13.7371
56.2746	12.9518
54.1237	-0.2307
52.2851	0.0000
56.5454	-31.9118
57.8524	-27.0539
231.7285	-38.1231
223.3574	-33.4643
229.1423	-138.3040
220.5256	-5.6412
230.9477	45.9714
219.9968	-5.1482
218.4388	22.4335
229.2709	-37.9634
233.3568	46.8093
218.1905	29.9091
230.4498	-79.4464
223.0886	143.1620
215.7068	33.9755
213.2163	-32.2678
220.6649	-172.5151
230.2662	49.3302
230.2622	56.9400
212.6600	84.8385
213.9765	-39.6297
228.4120	97.6683
211.5422	32.0510
210.5927	16.2551
216.7816	-155.5393
234.9337	155.3585
233.5744	75.2180
211.3910	44.9887
224.5416	127.8097
232.3443	-2.4584
212.8236	22.8237
211.7873	54.9629
213.3019	15.9839
213.0665	38.9337
212.5780	1.8391
209.8030	70.0674
209.7835	74.9047
216.2322	-133.7909
209.3697	24.7981
236.0003	87.7564
217.2273	-142.4506
236.5477	136.8678
221.1352	-83.7913
205.1345	17.5504
237.0415	98.1677
236.8030	111.3189
236.4777	77.0601
217.5416	-124.8307
230.4195	28.9330
222.4663	-15.0827
221.1398	-95.5344
222.1222	-6.7190
237.9366	95.9524
238.4048	61.9088
211.9329	-91.0398
233.4994	-2.4933
202.3571	56.3889
225.2853	17.6196
239.2610	50.4671
236.6477	59.6602
208.4917	-46.0171
228.2079	54.6523
231.7304	27.4796
202.5253	21.8632
217.3512	-151.5328
220.0524	-115.0170
217.3600	-142.9122
206.6535	-79.4861
201.7853	37.3809
204.4756	-89.5218
222.4264	-14.7580
222.4367	-43.0065
231.9636	34.2944
209.1676	-51.6429
201.4011	-2.8847
235.9690	28.2848
238.3877	31.9550
221.8304	-0.9520
203.3025	-3.4627
223.7990	15.3508
238.9011	33.9312
218.3875	-41.0422
218.3253	-53.4506
228.6099	32.0928
201.8575	13.9251
228.3419	30.9651
201.2083	-16.7634
211.5084	13.4999
217.1499	0.2575
217.3588	2.9475
217.1946	-1.7329
239.1250	2.3773
199.0290	-0.0686
232.8891	-1.4000
200.7126	33.3375
205.8627	-0.2590
211.5412	39.3371
237.1458	-11.6613
231.3562	1.4474
238.5573	-25.5030
207.1752	-2.1492
221.5517	3.3161
210.5892	-18.1115
234.1289	38.3736
235.4826	31.0290
200.0713	28.1922
216.9272	51.1587
207.4129	-98.0540
232.0380	30.6787
195.6847	-6.7714
213.8226	-1.9834
207.1486	-65.3279
224.8581	5.6488
205.8833	-45.2727
205.8122	-37.5881
229.6740	2.7792
197.4238	73.2675
226.5032	-13.9861
232.3010	29.3895
197.9590	7.2433
212.2643	-29.0688
216.5033	-10.1326
242.4148	-42.9991
227.0223	-1.8709
269.3501	7.7997
216.4395	5.2914
193.7581	-36.3978
224.0061	10.6780
223.9678	14.5903
236.7940	45.4704
228.2551	6.0315
221.6072	-34.7402
195.5547	3.6414
196.2422	19.9759
195.5423	7.4858
234.2795	60.8586
209.1515	11.3817
234.2645	45.8058
223.5956	-10.3792
194.1629	-1.8481
220.9045	-75.4698
194.1348	-1.7721
201.0949	34.2675
214.6800	-3.4435
194.4623	-6.1063
211.0323	-22.6957
218.9501	-143.1611
246.4616	-0.0440
194.2209	20.2157
196.2806	21.3613
215.6898	5.7073
194.1964	-4.3962
210.3563	-10.4066
195.5212	21.0682
195.4132	21.1561
205.6984	-108.1291
243.7098	10.7819
206.0748	-46.7621
240.2902	-41.6695
219.7840	-143.7669
237.6106	-2.2818
214.9737	-46.3891
198.3645	4.8435
191.6322	70.1612
227.5045	-22.5007
208.9426	-17.7641
228.9822	-11.0785
229.0653	-19.5448
194.0722	0.5253
202.7137	-57.3448
193.3882	-0.0944
193.3784	-14.1219
197.8197	0.2320
237.2861	22.0944
216.6726	-97.5679
221.6437	436.1254
196.6937	21.7273
193.9934	10.0536
225.9759	-1.5633
235.4148	37.3039
231.0764	2.6988
197.7004	6.2674
202.0895	-17.6570
245.9023	2.6836
202.0822	-13.3178
201.2304	-0.6102
218.7159	500.8045
190.6368	71.3092
218.7294	-130.1885
208.7250	-77.5773
227.1185	47.4861
201.7081	-4.4104
213.9478	-106.7157
212.3779	-40.0762
222.3208	-90.9673
233.0670	22.2891
233.0626	10.4803
230.4416	-4.1411
198.3077	-6.5092
225.0168	-15.8027
191.6332	43.9478
209.2752	-53.2866
189.6020	18.1999
209.4952	-69.5120
188.8374	8.7891
231.9838	17.3960
211.7708	10.4886
228.9532	34.5575
232.4513	30.2272
253.1690	25.1669
213.1772	143.8721
216.9206	-76.9012
201.2534	54.0067
212.7240	-54.6539
225.7606	-23.4605
220.5760	-10.8962
210.6540	71.0365
210.0403	-3.5098
243.9238	-14.7112
215.7887	-10.4574
195.4017	72.9936
187.6671	-12.9953
195.5065	36.5351
245.1876	-12.4547
196.0181	65.5319
192.7612	8.4943
193.8723	11.4226
210.3396	22.5072
190.9521	24.5992
275.6204	-62.4328
211.7913	-5.1682
215.3181	-85.0168
212.8360	-33.4065
190.7169	-9.4817
276.1561	10.6259
215.3300	45.2819
247.4543	13.3389
199.6457	61.3616
186.1963	-14.4714
194.2386	41.9981
248.9433	19.0222
195.5124	41.6429
215.2893	7.0558
207.4291	58.1995
195.7748	31.5848
215.2328	11.5012
205.7875	11.1382
277.1916	9.5517
207.7061	17.6027
200.6361	38.9701
194.6025	42.6148
184.7836	-5.9003
186.6950	-1.4119
198.5460	19.1282
200.4600	38.2717
188.5889	36.5407
188.1559	34.1118
189.6887	15.1130
190.5776	27.9862
196.8739	12.1884
204.2113	-5.4432
204.2393	-24.0360
188.9597	-23.2025
202.6624	-32.7332
197.5490	1.4589
203.9631	-37.2625
256.1914	1.5099
187.6554	18.1185
199.8556	-4.1892
194.8177	-2.1675
200.2103	14.1037
207.2057	3.9279
187.8971	1.4278
190.4746	-10.5292
188.2034	4.6427
190.2082	1.5746
187.2827	-5.2184
182.9847	-16.3967
183.1036	-41.7039
202.5446	-2.6370
183.1517	3.1787
186.3225	-0.2851
189.7672	-2.8471
184.9592	3.3671
193.1544	6.0520
193.1465	15.2271
184.2188	-8.7814
185.5332	-3.4075
190.7439	0.0254
186.9601	-8.6749
184.7485	19.7569
182.2707	-58.0438
193.2415	2.8922
185.1118	-14.6908
197.8966	18.4258
197.8346	19.3431
281.5296	-5.2871
181.8632	-34.7897
183.1154	29.7411
179.8962	-7.5163
179.8645	-13.9230
183.6115	11.0765
193.9654	-14.0913
182.0973	7.3083
184.3036	-3.5603
188.7994	23.5467
183.0930	-16.0372
184.1383	-14.2616
189.3623	-11.2014
187.2365	27.1477
191.7242	-12.0737
183.2704	-9.2724
190.4858	-36.3676
190.4565	-22.4681
178.1012	-7.6587
178.0987	-6.1318
192.4363	-31.5778
185.3879	-8.0263
192.2716	-13.4553
178.6172	3.9093
190.1076	-26.0494
186.6765	-13.3922
177.3799	-9.6737
192.1889	-31.8686
186.6842	-10.2623
176.9924	-14.5743
185.8177	-10.5750
178.1786	-21.5550
193.8108	-40.6007
178.9473	-4.1249
190.7973	-34.7354
176.6264	-8.0255
178.8588	6.1866
186.1056	-20.8184
190.9071	-90.3810
179.3919	-13.3277
191.1494	-73.9867
177.4700	-16.1898
191.3325	-102.5675
180.3484	-9.5071
178.4168	-26.0750
185.9555	-21.8771
184.5474	-27.3285
185.7498	-42.7582
288.3197	16.2879
190.5300	-59.0666
288.3580	11.2584
187.9647	-23.6119
176.2707	63.5199
178.3274	-12.7930
189.3885	-97.3392
182.7133	-20.6644
178.0239	12.5330
189.6881	17.1373
179.6453	-16.6320
174.9550	-5.4782
180.8004	24.5504
181.5521	-14.4848
174.6984	-13.7537
178.7637	-4.7368
177.4812	-29.2274
176.0265	-1.0016
175.6446	14.5207
174.7370	-27.9057
187.3862	-186.6470
176.9948	-27.2559
176.9815	-7.7217
178.0909	13.9079
186.9737	16.0359
175.8649	-22.6740
183.2039	-0.2414
291.0780	5.3925
172.2168	48.1767
182.6799	-7.1097
175.5674	-12.0255
184.3653	-4.0036
172.7891	-6.8452
181.7669	-14.6896
181.7704	4.4527
184.8521	-2.0784
181.8594	-25.4716
177.9067	-8.2921
172.8139	17.3527
182.4561	-19.5037
183.3568	0.6405
176.8571	-21.7053
172.9518	-2.8239
181.1837	-1.5435
175.9215	-37.2399
176.8320	-19.6736
176.8437	-22.7862
174.2552	-20.1735
174.5512	-20.2092
178.6850	23.6871
174.3256	-23.9320
172.8716	19.5288
173.4845	-1.2869
178.3194	6.2760
174.0480	2.4527
170.5559	1.0149
177.2110	-6.5839
174.9019	0.2098
170.2250	52.9583
179.0978	-17.4107
178.7398	5.1620
178.7216	2.4792
172.8805	-35.0735
172.3185	-56.4061
173.0924	1.0558
177.6841	-9.0987
171.6253	-3.3246
171.4726	13.7717
178.0826	4.9487
170.3223	-0.6774
170.2907	9.2817
167.9558	-20.2873
176.8019	27.4448
175.5826	13.8343
168.6618	14.8288
175.2131	36.2994
169.2343	44.8590
171.5695	-10.9704
170.6536	2.6707
171.5884	20.4615
173.0245	-25.2085
170.0169	-3.7543
172.7251	5.6629
173.2361	-3.5618
170.1119	-5.3976
167.9207	1.6516
173.6582	-8.8042
174.9004	1.8817
173.7887	6.8403
296.7766	73.3783
169.3340	5.0939
297.1122	12.3730
172.1755	-3.4980
165.1341	16.8000
173.9987	-15.7212
173.2585	0.1931
173.7283	-19.2146
169.5738	36.6227
168.3532	4.3513
170.9732	3.3439
171.0364	-4.0761
172.0934	-17.2204
166.9885	-32.0599
168.4958	30.3766
171.6334	-0.8399
170.4006	51.4840
166.1741	-8.7932
166.6204	2.4651
164.3665	9.1928
167.9809	53.8096
167.9996	37.2147
164.3517	23.2860
162.7479	-4.9791
